model,precision_at_k,recall_at_k,ndcg_at_k,hit_rate_at_k,n_users_evaluated,catalog_coverage,novelty_at_k
most_popular,0.11020408163265306,0.08929357116733048,0.3087895330709302,0.4897959183673469,49,0.0034900431122972695,1.677276346254183
highest_average,0.018367346938775512,0.0326174320659941,0.10831851458555698,0.1836734693877551,49,0.0023609115171422707,3.864292810459237
content_based,0.01020408163265306,0.004593732123041719,0.04378106149848796,0.10204081632653061,49,0.048142065284335865,10.840535752096864
item_item_cf,0.0020408163265306124,0.00016458196181698485,0.006438058709912832,0.02040816326530612,49,0.03182098131800452,9.02018516511098
user_user_cf,0.0,0.0,0.0,0.0,49,0.013754875795524533,9.109614947746069
matrix_factorization,0.05306122448979593,0.03216201290787647,0.17611532570288077,0.32653061224489793,49,0.006056251283104086,2.825807270992228
